6121,Sengunthar Bschool For Women,6121,principal,Y
6122,Sengunthar College of Engineering ,6122,principal,Y
6123,Sengunthar Engineering College,6123,principal,Y
6124,Shree Sathyam College of Engineering. and Technology,6124,principal,Y
6125,Sri Venkateswara Institute of Engineering,6125,principal,Y
6126,The Kavery College of Engineering ,6126,principal,Y
6127,The Kavery Engineering College,6127,principal,Y
6128,Varuvan Vadivelan Institute of Technology,6128,principal,Y
6129,Vivekanandha College of Engineering for Women,6129,principal,Y
6130,Vivekanandha College of Technology for women,6130,principal,Y
6131,Vivekanandha Institute of Engineering and Technology for women,6131,principal,Y
6132,Vivekanandha Business School For Women,6132,principal,Y
6133,Vivekanandha Institute Of Information  and Management Studies,6133,principal,Y
6201,AVS Engineering College,6201,principal,Y
6202,Annai Mathammal Sheela Engineering College,6202,principal,Y
6203,Bharathiyar Institute of Engineering for Women,6203,principal,Y
6204,Brahma School Of Business,6204,principal,Y
6205,CMS College of Engineering,6205,principal,Y
6206,Ganesh College of Engineering,6206,principal,Y
6207,Gnanamani College of Engineering,6207,principal,Y
6208,Gnanamani College of Technology,6208,principal,Y
6209,Gnanamani Institute Of Management Studies,6209,principal,Y
6210,Greentech College of Engineering for Women,6210,principal,Y
6211,Idhaya Engineering College for Women,6211,principal,Y
6212,King College of Technology,6212,principal,Y
6213,Kongunadu College of Engineering and Technology,6213,principal,Y
6214,Maha Barathi Engineering College,6214,principal,Y
6215,Mahendra College of Engineering,6215,principal,Y
6216,Muthuyammal Engineering College,6216,principal,Y
6217,Muthayammal Technical campus,6217,principal,Y
6218,PGP College of Engineering and Technology,6218,principal,Y
6219,Paavaai Group of Institutions School of Engineering,6219,principal,Y
6220,Paavai College of Engineering,6220,principal,Y
6221,Paavai Engineering college,6221,principal,Y
6222,Pavai College of Technology,6222,principal,Y
6223,SRS College of Engineering and Technology,6223,principal,Y
6224,Salem College of Engineering and Technology,6224,principal,Y
6225,Selvam College of Technology,6225,principal,Y
6226,Shreenivasa Engineering College,6226,principal,Y
6227,SRG Engineering College,6227,principal,Y
6228,Sri Ganesh School Of Business Management,6228,principal,Y
6229,T.S.M.Jain College of Technology,6229,principal,Y
6230,Tagore Institute of Engineering and Technology,6230,principal,Y
6231,VSA Educational and Charitable Trust's Group of Institutions,6231,principal,Y
6232,Vasavi Vidhya Trust Group Of Institutions,6232,principal,Y
6233,Vetri Vinayaha College of Engineering and  Technology,6233,principal,Y
7100,University Department of Anna University of Technology - Coimbatore,7100,principal,Y
7101,Adithya Institute of Technology,7101,principal,Y
7103,Angel College of Engineering and Technology,7103,principal,Y
7104,Christ The King Engineering College,7104,principal,Y
7105,Coimbatore Institute of Engineering and Technology,7105,principal,Y
7106,CSI College of Engineering,7106,principal,Y
7107,Dr.NGP Institute of Technology,7107,principal,Y
7108,Dr.Nallini Institute of Engineering and Technology,7108,principal,Y
7109,Indus College of Engineering,7109,principal,Y
7110,Info Institute of Engineering,7110,principal,Y
